Source Name	Characteristics [age]	Unit[time unit]	Characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Parameter Value [growth humidity]	Parameter Value [growth temperature]	Unit [temperature unit]	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Parameter Value [Percentile]	Parameter Value [Outlier low]	Parameter Value [Outlier high]	Parameter Value [Cell margin]	Protocol REF	Parameter Value [scanner]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Comment [Derived ArrayExpress FTP file]	Factor Value [time]	Unit[time unit]	Factor Value [organism part]	Term Source REF	Term Accession Number	Factor Value [ecotype]
CS1092_57	17	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.12 Boyes key	  	  	rosette leaf	P-TABM-42	65%	23	degree celsius	Col-0_lf7_distal3	P-TABM-51	Col-0_lf7_distal3	total_RNA	P-TABM-52	Col-0_lf7_distal3 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_21_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_21_C	ATGE_21_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	17	day	rosette leaf	EFO	EFO_0001984	Columbia-0
AP3-6_4	21+	day	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 12 flower	  	  	flower	P-TABM-42	65%	23	degree celsius	ap3-6_flow121	P-TABM-51	ap3-6_flow121	total_RNA	P-TABM-52	ap3-6_flow121 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_57_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_57_A	ATGE_57_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower	  	  	AP3-6
CS1092_184	21	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.12 Boyes key	  	  	shoot	P-TABM-42	40%	20	degree celsius	Col-0_sedlGM-211	P-TABM-51	Col-0_sedlGM-211	total_RNA	P-TABM-52	Col-0_sedlGM-211 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_100_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_100_A	ATGE_100_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21	day	shoot	EFO	EFO_0000992	Columbia-0
CS1092_138	8	week	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	curled cotyledon stage	  	  	seed	P-TABM-42	50-60%	23	degree celsius	Col-0_seed73	P-TABM-51	Col-0_seed73	total_RNA	P-TABM-52	Col-0_seed73 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_81_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_81_C	ATGE_81_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	56	day	seed	  	  	Columbia-0
CS1092_17	7	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	leaf + shoot apex	P-TABM-42	65%	23	degree celsius	Col-0_shoot_veg2	P-TABM-51	Col-0_shoot_veg2	total_RNA	P-TABM-52	Col-0_shoot_veg2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_6_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_6_B	ATGE_6_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	7	day	leaf + shoot apex	  	  	Columbia-0
CS1092_85	21+	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 10 flower	  	  	flower	P-TABM-42	65%	23	degree celsius	Col-0_flow10/111	P-TABM-51	Col-0_flow10/111	total_RNA	P-TABM-52	Col-0_flow10/111 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_32_A2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_32_A2	ATGE_32_A2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower	  	  	Columbia-0
CLV3-7_3	21+	day	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 1 flower	  	  	flower + shoot apex	P-TABM-42	65%	23	degree celsius	clv3-7_inflor3	P-TABM-51	clv3-7_inflor3	total_RNA	P-TABM-52	clv3-7_inflor3 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_46_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_46_C	ATGE_46_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower + shoot apex	  	  	CLV3-7
CS1092_172	8	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	shoot	P-TABM-42	40%	20	degree celsius	Col-0_seedl_GM1	P-TABM-51	Col-0_seedl_GM1	total_RNA	P-TABM-52	Col-0_seedl_GM1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_96_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_96_A	ATGE_96_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	8	day	shoot	EFO	EFO_0000992	Columbia-0
CS1092_64	23	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	complete rosette	  	  	whole_organism	P-TABM-42	65%	23	degree celsius	Col-0_whole23d1	P-TABM-51	Col-0_whole23d1	total_RNA	P-TABM-52	Col-0_whole23d1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_24_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_24_A	ATGE_24_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	23	day	whole_organism	EFO	EFO_0002906	Columbia-0
CS1092_30	10	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	early rosette growth	  	  	rosette leaf	P-TABM-42	65%	23	degree celsius	Col-0_roset4_1l3	P-TABM-51	Col-0_roset4_1l3	total_RNA	P-TABM-52	Col-0_roset4_1l3 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_10_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_10_C	ATGE_10_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	10	day	rosette leaf	EFO	EFO_0001984	Columbia-0
CS1092_167	8	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	root	P-TABM-42	40%	20	degree celsius	Col-0_root_GM-82	P-TABM-51	Col-0_root_GM-82	total_RNA	P-TABM-52	Col-0_root_GM-82 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_94_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_94_B	ATGE_94_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	8	day	root	EFO	EFO_0000989	Columbia-0
CS1092_87	21+	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 10 flower	  	  	flower	P-TABM-42	65%	23	degree celsius	Col-0_flow10/113	P-TABM-51	Col-0_flow10/113	total_RNA	P-TABM-52	Col-0_flow10/113 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_32_C2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_32_C2	ATGE_32_C2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower	  	  	Columbia-0
CS1092_127	8	week	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	heart stage	  	  	silique	P-TABM-42	50-60%	23	degree celsius	Col-0_sil41	P-TABM-51	Col-0_sil41	total_RNA	P-TABM-52	Col-0_sil41 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_77_D	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_77_D	ATGE_77_D.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	56	day	silique	  	  	Columbia-0
AP1-15_3	21+	day	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 1 flower	  	  	flower + shoot apex	P-TABM-42	65%	23	degree celsius	ap1-15_inflor3	P-TABM-51	ap1-15_inflor3	total_RNA	P-TABM-52	ap1-15_inflor3 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_48_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_48_C	ATGE_48_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower + shoot apex	  	  	AP1-15
CS1092_16	7	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	leaf + shoot apex	P-TABM-42	65%	23	degree celsius	Col-0_shoot_veg1	P-TABM-51	Col-0_shoot_veg1	total_RNA	P-TABM-52	Col-0_shoot_veg1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_6_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_6_A	ATGE_6_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	7	day	leaf + shoot apex	  	  	Columbia-0
CS1092_168	8	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	root	P-TABM-42	40%	20	degree celsius	Col-0_root_GM-83	P-TABM-51	Col-0_root_GM-83	total_RNA	P-TABM-52	Col-0_root_GM-83 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_94_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_94_C	ATGE_94_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	8	day	root	EFO	EFO_0000989	Columbia-0
CS1092_121	6	week	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pollen stage 10	  	  	pollen sac	P-TABM-42	none	23	degree celsius	Col-0_pollen1	P-TABM-51	Col-0_pollen1	total_RNA	P-TABM-52	Col-0_pollen1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_73_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_73_A	ATGE_73_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	42	day	pollen sac	  	  	Columbia-0
CS1092_143	8	week	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mature	  	  	seed	P-TABM-42	50-60%	23	degree celsius	Col-0_seed92	P-TABM-51	Col-0_seed92	total_RNA	P-TABM-52	Col-0_seed92 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_83_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_83_B	ATGE_83_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	56	day	seed	  	  	Columbia-0
CLV3-7_2	21+	day	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 1 flower	  	  	flower + shoot apex	P-TABM-42	65%	23	degree celsius	clv3-7_inflor2	P-TABM-51	clv3-7_inflor2	total_RNA	P-TABM-52	clv3-7_inflor2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_46_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_46_B	ATGE_46_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower + shoot apex	  	  	CLV3-7
CS1092_70	21+	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	early reproductive	  	  	cauline leaf	P-TABM-42	65%	23	degree celsius	Col-0_cauline1	P-TABM-51	Col-0_cauline1	total_RNA	P-TABM-52	Col-0_cauline1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_26_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_26_A	ATGE_26_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	cauline leaf	  	  	Columbia-0
LFY-12_2	21+	day	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 1 flower	  	  	flower + shoot apex	P-TABM-42	65%	23	degree celsius	lfy-12_inflor2	P-TABM-51	lfy-12_inflor2	total_RNA	P-TABM-52	lfy-12_inflor2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_47_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_47_B	ATGE_47_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower + shoot apex	  	  	LFY-12
CS1092_109	21+	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 15 flower	  	  	flower	P-TABM-42	65%	23	degree celsius	Col-0_flow15_sepal1	P-TABM-51	Col-0_flow15_sepal1	total_RNA	P-TABM-52	Col-0_flow15_sepal1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_41_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_41_A	ATGE_41_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.2.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower	  	  	Columbia-0
