Source Name	Characteristics [SampleType]	Characteristics [Ecotype]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [BioSourceProvider]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [OrganismPart]	Term Source REF	Term Accession Number	Factor Value [Ecotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]
BioSource:ATGE_6_C	fresh_sample	Columbia-0	shoot apex, vegetative	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_6_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_6_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_6_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	shoot apex, vegetative	  	  	Columbia-0	ATGE_6_C	E-AFMX-9-raw-data-365455493.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.6.zip
BioSource:ATGE_95_A	fresh_sample	Columbia-0	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_95_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_95_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_95_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	root	EFO	EFO_0000989	Columbia-0	ATGE_95_A	E-AFMX-9-raw-data-365457418.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.6.zip
BioSource:ATGE_33_B	fresh_sample	Columbia-0	flowers stage 12	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_33_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_33_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_33_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flowers stage 10/11	  	  	Columbia-0	ATGE_33_B	E-AFMX-9-raw-data-365452518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.6.zip
BioSource:ATGE_25_B	fresh_sample	Columbia-0	senescing leaves	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_25_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_25_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_25_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	developmental drift; whole plant after transition, but before bolting	  	  	Columbia-0	ATGE_25_B	E-AFMX-9-raw-data-365451678.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.6.zip
BioSource:ATGE_9_A	fresh_sample	Columbia-0	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_9_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_9_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_9_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	root	EFO	EFO_0000989	Columbia-0	ATGE_9_A	E-AFMX-9-raw-data-365457943.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.6.zip
BioSource:ATGE_15_A	fresh_sample	Columbia-0	rosette leaf # 8	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_15_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_15_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_15_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	rosette leaf # 8	  	  	Columbia-0	ATGE_15_A	E-AFMX-9-raw-data-365450593.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.6.zip
BioSource:ATGE_51_B	fresh_sample	ag-12	shoot apex, inflorescence (after bolting)	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_51_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_51_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_51_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	shoot apex, inflorescence (after bolting)	  	  	ap3-6	ATGE_51_B	E-AFMX-9-raw-data-365454408.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.6.zip
BioSource:ATGE_43_B	fresh_sample	Columbia-0	flowers stage 15, stamen	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_43_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_43_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_43_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flowers stage 15, petals	  	  	Columbia-0	ATGE_43_B	E-AFMX-9-raw-data-365453568.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.6.zip
BioSource:ATGE_83_A	fresh_sample	Columbia-0	seeds, stage 9, w/o siliques	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_83_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_83_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_83_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	seeds, stage 8, w/o siliques	  	  	Columbia-0	ATGE_83_A	E-AFMX-9-raw-data-365456368.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.6.zip
BioSource:ATGE_95_B	fresh_sample	Columbia-0	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_95_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_95_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_95_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	root	EFO	EFO_0000989	Columbia-0	ATGE_95_B	E-AFMX-9-raw-data-365457453.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.6.zip
BioSource:ATGE_33_A	fresh_sample	Columbia-0	flowers stage 12	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_33_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_33_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_33_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flowers stage 10/11	  	  	Columbia-0	ATGE_33_A	E-AFMX-9-raw-data-365452483.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.7.zip
BioSource:ATGE_73_A	fresh_sample	Columbia-0	mature pollen	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_73_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_73_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_73_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	seedling - green parts	  	  	Columbia-0	ATGE_73_A	E-AFMX-9-raw-data-365455528.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.7.zip
BioSource:ATGE_25_A	fresh_sample	Columbia-0	senescing leaves	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_25_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_25_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_25_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	developmental drift; whole plant after transition, but before bolting	  	  	Columbia-0	ATGE_25_A	E-AFMX-9-raw-data-365451643.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.7.zip
BioSource:ATGE_51_C	fresh_sample	ag-12	shoot apex, inflorescence (after bolting)	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_51_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_51_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_51_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	shoot apex, inflorescence (after bolting)	  	  	ap3-6	ATGE_51_C	E-AFMX-9-raw-data-365454443.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.7.zip
BioSource:ATGE_14_C	fresh_sample	Columbia-0	rosette leaf # 6	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_14_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_14_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_14_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	rosette leaf # 6	  	  	Columbia-0	ATGE_14_C	E-AFMX-9-raw-data-365450558.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.7.zip
BioSource:ATGE_6_A	fresh_sample	Columbia-0	shoot apex, vegetative	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_6_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_6_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_6_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	shoot apex, vegetative	  	  	Columbia-0	ATGE_6_A	E-AFMX-9-raw-data-365455423.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.7.zip
BioSource:ATGE_83_B	fresh_sample	Columbia-0	seeds, stage 9, w/o siliques	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_83_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_83_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_83_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	seeds, stage 8, w/o siliques	  	  	Columbia-0	ATGE_83_B	E-AFMX-9-raw-data-365456403.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.7.zip
BioSource:ATGE_43_A	fresh_sample	Columbia-0	flowers stage 15, stamen	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_43_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_43_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_43_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flowers stage 15, petals	  	  	Columbia-0	ATGE_43_A	E-AFMX-9-raw-data-365453533.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.7.zip
BioSource:ATGE_99_B	fresh_sample	Columbia-0	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_99_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_99_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_99_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	root	EFO	EFO_0000989	Columbia-0	ATGE_99_B	E-AFMX-9-raw-data-365457873.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.7.zip
BioSource:ATGE_15_C	fresh_sample	Columbia-0	rosette leaf # 8	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_15_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_15_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_15_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	rosette leaf # 8	  	  	Columbia-0	ATGE_15_C	E-AFMX-9-raw-data-365450663.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.7.zip
BioSource:ATGE_24_C	fresh_sample	Columbia-0	developmental drift; whole plant after transition, but before bolting	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_24_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_24_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_24_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	developmental drift; whole plant after transition, but before bolting	  	  	Columbia-0	ATGE_24_C	E-AFMX-9-raw-data-365451608.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.7.zip
BioSource:ATGE_34_A	fresh_sample	Columbia-0	flowers stage 12, sepals	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_34_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_34_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_34_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flowers stage 12	  	  	Columbia-0	ATGE_34_A	E-AFMX-9-raw-data-365452588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.7.zip
BioSource:ATGE_94_B	fresh_sample	Columbia-0	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_94_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_94_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_94_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	root	EFO	EFO_0000989	Columbia-0	ATGE_94_B	E-AFMX-9-raw-data-365457348.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.8.zip
BioSource:ATGE_52_A	fresh_sample	ufo-1	shoot apex, inflorescence (after bolting)	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_52_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_52_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_52_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	shoot apex, inflorescence (after bolting)	  	  	ag-12	ATGE_52_A	E-AFMX-9-raw-data-365454478.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.8.zip
BioSource:ATGE_42_D	fresh_sample	Columbia-0	flowers stage 15, petals	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_42_D	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_42_D	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_42_D	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flowers stage 15, sepals	  	  	Columbia-0	ATGE_42_D	E-AFMX-9-raw-data-365453498.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.8.zip
BioSource:ATGE_6_B	fresh_sample	Columbia-0	shoot apex, vegetative	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_6_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_6_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_6_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	shoot apex, vegetative	  	  	Columbia-0	ATGE_6_B	E-AFMX-9-raw-data-365455458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.8.zip
BioSource:ATGE_83_C	fresh_sample	Columbia-0	seeds, stage 9, w/o siliques	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_83_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_83_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_83_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	seeds, stage 8, w/o siliques	  	  	Columbia-0	ATGE_83_C	E-AFMX-9-raw-data-365456438.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.8.zip
BioSource:ATGE_15_B	fresh_sample	Columbia-0	rosette leaf # 8	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_15_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_15_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_15_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	rosette leaf # 8	  	  	Columbia-0	ATGE_15_B	E-AFMX-9-raw-data-365450628.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.8.zip
BioSource:ATGE_52_B	fresh_sample	ufo-1	shoot apex, inflorescence (after bolting)	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_52_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_52_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_52_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	shoot apex, inflorescence (after bolting)	  	  	ag-12	ATGE_52_B	E-AFMX-9-raw-data-365454513.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.8.zip
BioSource:ATGE_33_C	fresh_sample	Columbia-0	flowers stage 12	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_33_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_33_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_33_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flowers stage 10/11	  	  	Columbia-0	ATGE_33_C	E-AFMX-9-raw-data-365452553.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.8.zip
BioSource:ATGE_94_C	fresh_sample	Columbia-0	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_94_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_94_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_94_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	root	EFO	EFO_0000989	Columbia-0	ATGE_94_C	E-AFMX-9-raw-data-365457383.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.8.zip
