Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[infection]	FactorValue[time]	Unit[time unit]
GSE13739GSM345349	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf uninfected 7d:  Gene expression data from 7d uninfected mutant whole mature leaves. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf uninfected 7d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345349 sample	P-G13739-4	GSE13739GSM345349 extract	total_RNA	P-G13739-3	GSE13739GSM345349 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 7d UI, biological rep 1"	A-AFFY-2	P-AFFY-6	GSM345349.CEL	GSM345349.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.2.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	none	7	day
GSE13739GSM345350	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf uninfected 7d:  Gene expression data from 7d uninfected mutant whole mature leaves. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf uninfected 7d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345350 sample	P-G13739-4	GSE13739GSM345350 extract	total_RNA	P-G13739-3	GSE13739GSM345350 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 7d UI, biological rep 2"	A-AFFY-2	P-AFFY-6	GSM345350.CEL	GSM345350.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.2.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	none	7	day
GSE13739GSM345317	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 7d:  Gene expression data from wild type whole mature leaves at 7d post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 7d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345317 sample	P-G13739-4	GSE13739GSM345317 extract	total_RNA	P-G13739-3	GSE13739GSM345317 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 7dpi, biological rep 1"	A-AFFY-2	P-AFFY-6	GSM345317.CEL	GSM345317.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.2.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	7	day
GSE13739GSM345319	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 7d:  Gene expression data from wild type whole mature leaves at 7d post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 7d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345319 sample	P-G13739-4	GSE13739GSM345319 extract	total_RNA	P-G13739-3	GSE13739GSM345319 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 7dpi, biological rep 3"	A-AFFY-2	P-AFFY-6	GSM345319.CEL	GSM345319.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.2.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	7	day
GSE13739GSM345320	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 7d:  Gene expression data from wild type whole mature leaves at 7d post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 7d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345320 sample	P-G13739-4	GSE13739GSM345320 extract	total_RNA	P-G13739-3	GSE13739GSM345320 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 7dpi, biological rep 4"	A-AFFY-2	P-AFFY-6	GSM345320.CEL	GSM345320.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.2.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	7	day
GSE13739GSM345318	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 7d:  Gene expression data from wild type whole mature leaves at 7d post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 7d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345318 sample	P-G13739-4	GSE13739GSM345318 extract	total_RNA	P-G13739-3	GSE13739GSM345318 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 7dpi, biological rep 2"	A-AFFY-2	P-AFFY-6	GSM345318.CEL	GSM345318.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.2.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	7	day
GSE13739GSM345323	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf uninfected 7d:  Gene expression data from 7d uninfected wild type whole mature leaves. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf uninfected 7d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345323 sample	P-G13739-4	GSE13739GSM345323 extract	total_RNA	P-G13739-3	GSE13739GSM345323 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 7d UI, biological rep 3"	A-AFFY-2	P-AFFY-6	GSM345323.CEL	GSM345323.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.2.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	none	7	day
GSE13739GSM345322	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf uninfected 7d:  Gene expression data from 7d uninfected wild type whole mature leaves. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf uninfected 7d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345322 sample	P-G13739-4	GSE13739GSM345322 extract	total_RNA	P-G13739-3	GSE13739GSM345322 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 7d UI, biological rep 2"	A-AFFY-2	P-AFFY-6	GSM345322.CEL	GSM345322.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.2.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	none	7	day
GSE13739GSM345321	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf uninfected 7d:  Gene expression data from 7d uninfected wild type whole mature leaves. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf uninfected 7d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345321 sample	P-G13739-4	GSE13739GSM345321 extract	total_RNA	P-G13739-3	GSE13739GSM345321 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 7d UI, biological rep 1"	A-AFFY-2	P-AFFY-6	GSM345321.CEL	GSM345321.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.2.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	none	7	day
GSE13739GSM345324	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf uninfected 7d:  Gene expression data from 7d uninfected wild type whole mature leaves. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf uninfected 7d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345324 sample	P-G13739-4	GSE13739GSM345324 extract	total_RNA	P-G13739-3	GSE13739GSM345324 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 7d UI, biological rep 4"	A-AFFY-2	P-AFFY-6	GSM345324.CEL	GSM345324.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.2.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	none	7	day
